image,mask
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1980.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1980.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\938.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\938.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2944.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2944.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2752.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2752.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\691.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\691.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\657.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\657.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\125.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\125.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2159.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2159.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2423.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2423.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2424.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2424.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1901.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1901.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1915.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1915.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2558.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2558.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1497.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1497.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\175.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\175.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1590.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1590.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1535.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1535.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\765.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\765.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1720.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1720.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2964.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2964.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\986.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\986.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2953.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2953.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\741.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\741.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1395.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1395.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1456.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1456.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1067.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1067.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\336.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\336.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2863.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2863.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1583.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1583.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1469.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1469.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2406.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2406.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1991.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1991.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2606.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2606.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1588.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1588.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\463.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\463.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2457.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2457.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2133.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2133.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1878.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1878.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2560.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2560.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1566.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1566.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2202.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2202.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2427.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2427.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\258.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\258.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1432.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1432.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2982.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2982.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2224.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2224.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\599.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\599.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2034.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2034.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1393.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1393.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2917.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2917.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1871.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1871.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2621.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2621.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2725.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2725.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\664.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\664.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\177.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\177.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2859.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2859.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1148.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1148.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1051.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1051.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1549.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1549.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1476.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1476.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2612.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2612.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1042.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1042.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2400.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2400.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\600.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\600.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1771.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1771.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\3030.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\3030.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1041.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1041.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1646.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1646.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\497.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\497.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\572.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\572.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\307.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\307.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2101.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2101.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1568.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1568.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2228.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2228.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2502.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2502.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2956.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2956.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1965.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1965.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2219.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2219.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\810.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\810.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\3005.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\3005.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1947.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1947.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2571.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2571.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2969.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2969.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\66.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\66.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2710.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2710.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1266.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1266.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2126.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2126.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\222.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\222.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1861.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1861.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2578.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2578.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2143.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2143.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1312.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1312.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2652.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2652.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1578.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1578.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2236.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2236.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\451.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\451.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2806.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2806.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\837.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\837.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1981.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1981.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\764.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\764.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2729.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2729.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\423.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\423.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\365.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\365.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2450.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2450.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1706.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1706.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\718.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\718.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1124.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1124.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1708.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1708.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\246.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\246.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2869.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2869.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1641.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1641.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2819.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2819.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2453.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2453.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2357.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2357.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2326.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2326.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1555.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1555.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1364.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1364.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2681.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2681.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2088.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2088.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\807.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\807.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2379.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2379.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2506.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2506.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1446.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1446.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1306.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1306.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2870.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2870.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\325.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\325.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1702.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1702.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2382.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2382.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1271.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1271.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2565.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2565.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1597.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1597.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2537.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2537.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\303.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\303.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\706.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\706.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2622.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2622.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1074.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1074.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\3056.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\3056.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1846.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1846.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1864.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1864.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1756.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1756.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2258.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2258.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\426.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\426.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2099.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2099.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2609.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2609.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\126.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\126.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\284.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\284.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2055.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2055.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1542.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1542.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\715.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\715.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1823.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1823.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2269.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2269.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2543.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2543.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1989.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1989.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1979.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1979.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\346.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\346.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2221.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2221.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1738.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1738.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\77.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\77.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\19.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\19.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\839.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\839.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1014.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1014.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2883.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2883.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\29.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\29.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\974.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\974.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2184.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2184.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\409.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\409.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2351.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2351.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\905.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\905.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2632.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2632.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2856.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2856.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\485.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\485.png
